    2       1.564997373129e-10       4.183807288938e-15       4.522038698482e-13       1.066926402479e-19       7.784425686542e-09       3.862833827198e-10      -2.085271107680e-12 
    3       1.422790787039e-10       8.182495382406e-15       5.847965762014e-13       2.135371958700e-19       4.690536710951e-09       2.594609733314e-10      -1.946784001703e-12 
    4       1.296903598022e-10       1.118210815953e-14       6.086114491016e-13       3.562273913404e-19       3.196286869056e-09       1.885257083346e-10      -1.679086975048e-12 
    5       1.205634847593e-10       1.229827917455e-14       5.678155669258e-13       5.349506245706e-19       2.339988687267e-09       1.439439650124e-10      -1.377021441945e-12 
    6       1.142277999154e-10       1.147672171341e-14       4.953438817066e-13       7.499286238558e-19       1.794930895200e-09       1.137629162832e-10      -1.075616304963e-12 
    7       1.099867887058e-10       9.300458895923e-15       4.133899722423e-13       1.001409865931e-18       1.423211274811e-09       9.223025797873e-11      -7.936247748914e-13 
    8       1.073186664822e-10       6.619185299780e-15       3.353040159182e-13       1.289661200460e-18       1.157141036968e-09       7.626181481767e-11      -5.426663942322e-13 
    9       1.058503027726e-10       4.199873414556e-15       2.681477418209e-13       1.614959024724e-18       9.595662521028e-10       6.406374675030e-11      -3.296347556145e-13 
   10       1.053133423952e-10       2.509880558148e-15       2.148885364199e-13       1.977580370479e-18       8.084479970543e-10       5.452699264916e-11      -1.575788875167e-13 
   11       1.055111163200e-10       1.662856903829e-15       1.760148982874e-13       2.377794268192e-18       6.824020223170e-10       4.652561722173e-11      -3.148225696449e-14 
   12       1.062970370707e-10       1.494222232424e-15       1.506052475030e-13       2.815853741954e-18       5.887764730170e-10       4.036067404607e-11       6.156527411822e-14 
   13       1.075598969079e-10       1.701139226760e-15       1.369515672984e-13       3.291988761839e-18       5.126990811192e-10       3.550150165227e-11       1.209510807250e-13 
   14       1.092147805615e-10       1.981687331040e-15       1.329466907870e-13       3.806400440338e-18       4.500428985988e-10       3.137414089026e-11       1.509273536746e-13 
   15       1.111960490537e-10       2.129076127833e-15       1.362763133702e-13       4.359256707449e-18       3.977911029677e-10       2.778714760521e-11       1.573118888160e-13 
   16       1.134530132883e-10       2.065450394958e-15       1.445590987644e-13       4.950689637132e-18       3.537674240027e-10       2.490062923274e-11       1.464522799000e-13 
   17       1.159458667170e-10       1.823814107477e-15       1.555867094298e-13       5.580794528689e-18       3.163468623498e-10       2.254728942627e-11       1.237793457942e-13 
   18       1.186432213796e-10       1.500143350139e-15       1.674090463748e-13       6.249630773102e-18       2.842850080704e-10       2.048383016780e-11       9.411447444916e-14 
   19       1.215201086854e-10       1.200490024714e-15       1.784028666662e-13       6.957224459345e-18       2.566012860571e-10       1.863004323221e-11       6.176136903204e-14 
   20       1.245559447517e-10       1.001305235435e-15       1.874462371113e-13       7.703572602501e-18       2.325426894072e-10       1.709250657560e-11       3.051486648349e-14 
   21       1.277297994461e-10       9.325592311244e-16       1.938362543878e-13       8.488647545565e-18       2.114659414659e-10       1.578471695206e-11       2.982932157600e-15 
   22       1.310379756638e-10       9.769947032973e-16       1.973762698309e-13       9.312410116904e-18       1.930387452985e-10       1.463240342262e-11      -1.940064823604e-14 
   23       1.344552740108e-10       1.094514597731e-15       1.981317048655e-13       1.017480387434e-17       1.767087633547e-10       1.357114241257e-11      -3.572432853301e-14 
   24       1.379768646460e-10       1.245304516830e-15       1.964266910823e-13       1.107578041869e-17       1.622383717917e-10       1.261701893046e-11      -4.574689377501e-14 
   25       1.415882339358e-10       1.388608209771e-15       1.927823231707e-13       1.201529178348e-17       1.493267355015e-10       1.179413632249e-11      -4.981142135737e-14 
   26       1.452844709961e-10       1.515837448258e-15       1.877389274455e-13       1.299331365513e-17       1.378044402522e-10       1.106481406658e-11      -4.883293016746e-14 
   27       1.490525474528e-10       1.631513102902e-15       1.819007618949e-13       1.400983832005e-17       1.274432418352e-10       1.037219055023e-11      -4.416285868267e-14 
   28       1.528886079997e-10       1.752123069663e-15       1.757329018896e-13       1.506489566728e-17       1.181256873081e-10       9.730742677341e-12      -3.688013220465e-14 
   29       1.567833531219e-10       1.898560129994e-15       1.696622464606e-13       1.615854643575e-17       1.097013004916e-10       9.167756990590e-12      -2.817301222986e-14 
   30       1.607322201501e-10       2.081845258675e-15       1.639560883960e-13       1.729089664462e-17       1.020729120690e-10       8.666751341096e-12      -1.919033007577e-14 
   31       1.647269826407e-10       2.308405690471e-15       1.587958330323e-13       1.846209244079e-17       9.512201595355e-11       8.197337776170e-12      -1.108215665186e-14 
   32       1.687684013326e-10       2.574581435969e-15       1.541964212583e-13       1.967232463289e-17       8.880750878993e-11       7.757067578624e-12      -4.389125121543e-15 
   33       1.728529787116e-10       2.871748680573e-15       1.500749739092e-13       2.092182962111e-17       8.306338344145e-11       7.349927232039e-12       5.113645044668e-16 
   34       1.769716425002e-10       3.190669819739e-15       1.462736649336e-13       2.221088516797e-17       7.778672372495e-11       6.977498428882e-12       3.319141029581e-15 
   35       1.811251282769e-10       3.529640254776e-15       1.425503693608e-13       2.353979015872e-17       7.294744933244e-11       6.638856185681e-12       4.139625992223e-15 
   36       1.853125376802e-10       3.889094057447e-15       1.385724977922e-13       2.490888348378e-17       6.850959851701e-11       6.330142737994e-12       3.283657964234e-15 
   37       1.895291590318e-10       4.269793968757e-15       1.339541642960e-13       2.631853854799e-17       6.441542092770e-11       6.045772535332e-12       1.160969563403e-15 
   38       1.937754063613e-10       4.673979294811e-15       1.284001155088e-13       2.776911513697e-17       6.064207509125e-11       5.783466844667e-12      -1.823386304727e-15 
