Ok	Om	OL	apara	apara_err	aperp	aperp_err	chi2
0.0	0.31	0.69	0.9267613	0.03488513	1.046227	0.02894016	88.15716
-0.09999999999999987	0.41	0.69	0.8197432	0.03122264	0.9285138	0.02616921	90.87057
0.050000000000000044	0.26	0.69	0.9905064	0.03688646	1.120047	0.03179077	88.34889
0.14	0.17	0.69	1.146824	0.1722994	1.090215	0.2904551	91.36203
0.10000000000000009	0.21	0.69	1.070503	0.0532434	1.203408	0.07061196	89.14763
0.13000000000000012	0.18	0.69	1.124487	0.1179837	1.196198	0.2004319	89.13301
-0.04999999999999993	0.36	0.69	0.8661082	0.0330035	0.9859919	0.02757162	89.01951
0.15000000000000002	0.16	0.69	1.168255	0.1662145	1.121998	0.3026722	91.54712
-0.19999999999999996	0.51	0.69	0.7203537	0.06323875	0.8705143	0.064621	94.95373
-0.1499999999999999	0.46	0.69	0.7711648	0.03733373	0.8902521	0.0269373	92.78772
