    2       1.296006616702e-10       7.523683007991e-15       5.732410687092e-13       2.723045269907e-19       9.231387359999e-09       3.278693840172e-10      -2.698126725984e-12 
    3       1.215338991309e-10       1.189092066328e-14       6.675247212581e-13       5.448109866091e-19       5.796491141140e-09       2.396368670924e-10      -2.302552443798e-12 
    4       1.139346828299e-10       1.302314592763e-14       6.504043961730e-13       9.084608824490e-19       4.071729840953e-09       1.839723357433e-10      -1.789214002328e-12 
    5       1.082969888526e-10       1.119870164114e-14       5.749385453044e-13       1.363506507535e-18       3.056381063654e-09       1.463820886841e-10      -1.286820663562e-12 
    6       1.044125297988e-10       7.931396429262e-15       4.767563533043e-13       1.910249147627e-18       2.398585465597e-09       1.195363477977e-10      -8.449984918766e-13 
    7       1.019006040851e-10       4.759469423753e-15       3.774290970409e-13       2.549030449343e-18       1.942282354479e-09       9.954184453275e-11      -4.860600197130e-13 
    8       1.004260979229e-10       2.550550225577e-15       2.892452330193e-13       3.280222779235e-18       1.609753655567e-09       8.419091919575e-11      -2.175214335828e-13 
    9       9.972668752747e-11       1.420213962999e-15       2.185983162107e-13       4.104218918710e-18       1.358686956204e-09       7.213927358882e-11      -3.667442433538e-14 
   10       9.960392189409e-11       1.028489976805e-15       1.679117293445e-13       5.021421461193e-18       1.164330055270e-09       6.253008252176e-11       6.670061526586e-14 
   11       9.991307537792e-11       9.496971725796e-16       1.367317388808e-13       6.032232285413e-18       9.776820603556e-10       5.437823764634e-11       1.059776627891e-13 
   12       1.005460885839e-10       9.080859007926e-16       1.224753684598e-13       7.137042472003e-18       8.556390541072e-10       4.801941960380e-11       1.028543340306e-13 
   13       1.014279467835e-10       8.251460290730e-16       1.213037816222e-13       8.336223010025e-18       7.553525454008e-10       4.266188734081e-11       7.197691834488e-14 
   14       1.025027377867e-10       7.413902830556e-16       1.289216192871e-13       9.630116606320e-18       6.718412604084e-10       3.816713931994e-11       2.876052928120e-14 
   15       1.037378728122e-10       7.131131773343e-16       1.412231864486e-13       1.101903086525e-17       6.014741782911e-10       3.448696509353e-11      -1.460151535079e-14 
   16       1.051006998311e-10       7.537007012890e-16       1.548711248761e-13       1.250323305101e-17       5.415820073523e-10       3.117612104110e-11      -5.039266704568e-14 
   17       1.065755786774e-10       8.334709263022e-16       1.676030466113e-13       1.408294658169e-17       4.901492588053e-10       2.838780797719e-11      -7.369612764855e-14 
   18       1.081389874715e-10       9.122880761366e-16       1.781557941602e-13       1.575834933590e-17       4.456253190051e-10       2.593835482518e-11      -8.355137448141e-14 
   19       1.097896327466e-10       9.702972342019e-16       1.861200425649e-13       1.752957378172e-17       4.068128633058e-10       2.374770220241e-11      -8.151035652225e-14 
   20       1.115039035087e-10       1.017356832264e-15       1.918215810347e-13       1.939670772825e-17       3.726697722506e-10       2.181790029986e-11      -7.070136203340e-14 
   21       1.132831157619e-10       1.077374014033e-15       1.959731858140e-13       2.135980354375e-17       3.427125550228e-10       2.012283604021e-11      -5.469509579641e-14 
   22       1.151075588664e-10       1.177724657131e-15       1.995316570472e-13       2.341887078874e-17       3.160433314701e-10       1.859658551488e-11      -3.780860143161e-14 
   23       1.169788359235e-10       1.326111590967e-15       2.032321612322e-13       2.557389847719e-17       2.923053088741e-10       1.722634386349e-11      -2.289162526939e-14 
   24       1.188865294000e-10       1.521559950699e-15       2.077294225562e-13       2.782484592577e-17       2.710183665366e-10       1.599847592130e-11      -1.228418921330e-14 
   25       1.208305366771e-10       1.756778304108e-15       2.132232024248e-13       3.017166648368e-17       2.519299546120e-10       1.489554571272e-11      -6.698195039919e-15 
   26       1.228016205503e-10       2.022030357384e-15       2.196623419226e-13       3.261429849957e-17       2.346769544688e-10       1.389091003842e-11      -6.006235879786e-15 
   27       1.248036116634e-10       2.316040094932e-15       2.266606546017e-13       3.515269100354e-17       2.190828715321e-10       1.298564169309e-11      -9.185333495948e-15 
   28       1.268345255584e-10       2.639458238417e-15       2.336280602736e-13       3.778679339346e-17       2.049074019596e-10       1.217954942285e-11      -1.463810630136e-14 
   29       1.288940737773e-10       2.990596028702e-15       2.399653661208e-13       4.051657653628e-17       1.920025277661e-10       1.145470720561e-11      -2.076180884318e-14 
   30       1.309766010854e-10       3.366833852959e-15       2.450464068000e-13       4.334202577404e-17       1.801795551204e-10       1.078457122710e-11      -2.591689891403e-14 
   31       1.330878774697e-10       3.766766914205e-15       2.485053800013e-13       4.626316276732e-17       1.693823904866e-10       1.016411321751e-11      -2.939403570163e-14 
   32       1.352291356356e-10       4.189074444108e-15       2.500266321348e-13       4.928003227160e-17       1.595082649199e-10       9.590354475302e-12      -3.072381251828e-14 
   33       1.373946978956e-10       4.633227723923e-15       2.493475672955e-13       5.239270075397e-17       1.503866203981e-10       9.056951557165e-12      -2.957990818495e-14 
   34       1.395880097142e-10       5.103592836723e-15       2.465703513989e-13       5.560126726171e-17       1.419748034598e-10       8.563754727064e-12      -2.642537636450e-14 
   35       1.418095712386e-10       5.606915263363e-15       2.419702232068e-13       5.890586159590e-17       1.342186582780e-10       8.109952678127e-12      -2.212063416057e-14 
   36       1.440548519105e-10       6.149850257883e-15       2.358683634853e-13       6.230663927343e-17       1.270239015036e-10       7.692149287817e-12      -1.763582698186e-14 
   37       1.463247518309e-10       6.733812906611e-15       2.284501897435e-13       6.580376328214e-17       1.203569169773e-10       7.307571449800e-12      -1.358027294145e-14 
   38       1.486174187394e-10       7.358407158727e-15       2.198925669869e-13       6.939742085547e-17       1.141697029901e-10       6.951444198775e-12      -1.053100767253e-14 
